City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,santiago de cao,-7.9589,-79.2392,66.33,82,72,13.8,PE,1727716037
83,waingapu,-9.6567,120.2641,79.97,80,67,4.05,ID,1727716038
84,belmonte,-15.8631,-38.8828,80.17,62,36,7.85,BR,1727716038
85,port-cartier,50.0334,-66.8654,61.27,44,0,4.45,CA,1727716038
86,schluchtern,50.3489,9.5253,52.88,93,93,9.42,DE,1727716038
87,bouza,14.4229,6.0428,99.57,16,10,9.93,NE,1727716038
88,kodiak,57.79,-152.4072,47.71,87,100,21.85,US,1727716038
89,hawaiian paradise park,19.5933,-154.9731,73.9,60,0,8.05,US,1727716039
90,thompson,55.7435,-97.8558,52.7,96,100,2.44,CA,1727716034
91,hjo,58.3013,14.2878,53.58,86,59,9.22,SE,1727716039
92,zaozersk,69.4005,32.4476,36.12,78,23,16.58,RU,1727716039
93,iskateley,67.6803,53.1512,41.41,77,87,25.3,RU,1727716039
94,dmitrovsk-orlovskiy,52.505,35.1464,60.93,35,100,15.46,RU,1727716039
95,ust-nera,64.5667,143.2,24.35,82,95,2.55,RU,1727716040
96,zonguldak,41.25,31.8333,54.12,93,100,2.73,TR,1727716040
97,stanley,54.868,-1.6985,51.82,96,75,6.91,GB,1727716040
98,atafu village,-8.5421,-172.5159,81.97,76,6,9.24,TK,1727716040
99,minas de marcona,-15.2119,-75.1103,61.63,70,87,13.31,PE,1727716040
100,college,64.8569,-147.8028,30.45,87,0,0.0,US,1727716040
101,port alfred,-33.5906,26.891,55.18,64,52,11.01,ZA,1727716041
102,mount pearl,47.5166,-52.7813,59.74,84,75,6.91,CA,1727715791
103,belyy yar,53.6039,91.3903,48.09,57,0,11.18,RU,1727716041
104,papatowai,-46.5619,169.4708,48.49,66,98,6.51,NZ,1727716041
105,enewetak,11.3474,162.3373,83.88,76,70,14.88,MH,1727716041
106,east london,-33.0153,27.9116,58.14,62,40,25.32,ZA,1727715917
107,el idrissia,34.4454,2.5275,84.34,32,13,6.62,DZ,1727716041
108,lazaro cardenas,17.9583,-102.2,83.93,70,77,1.74,MX,1727715748
109,bilibino,68.0546,166.4372,26.53,97,100,2.62,RU,1727716042
110,klyuchi,52.2667,79.1667,56.84,45,60,7.18,RU,1727716042
111,andergrove,-21.0833,149.1833,66.81,86,0,5.06,AU,1727716042
112,howrah,22.5892,88.3103,87.8,89,40,6.91,IN,1727716042
113,southside,33.9245,-86.0225,76.89,74,75,3.44,US,1727716043
114,quzhou,28.9594,118.8686,75.09,88,4,5.26,CN,1727716043
115,portland,45.5234,-122.6762,57.58,76,40,7.0,US,1727715480
116,kalmunai,7.4167,81.8167,81.28,79,94,10.25,LK,1727716043
117,keflavik,64.0049,-22.5624,39.63,75,75,9.22,IS,1727716043
118,bechar,31.6167,-2.2167,88.74,27,0,9.69,DZ,1727716044
119,tura,25.5198,90.2201,74.88,97,49,3.18,IN,1727716044
120,bairnsdale,-37.8333,147.6167,45.05,95,0,5.12,AU,1727716044
121,harper,4.375,-7.7169,77.56,84,79,9.48,LR,1727716044
122,ilulissat,69.2167,-51.1,39.22,93,100,9.22,GL,1727716044
123,bayanaul,50.7889,75.6956,53.67,42,24,1.23,KZ,1727716044
124,crane,31.3974,-102.3501,81.86,26,0,4.47,US,1727716044
125,vilyuchinsk,52.9306,158.4028,44.64,74,96,7.9,RU,1727716045
126,west island,-12.1568,96.8225,78.78,94,100,13.8,CC,1727716045
127,acapulco de juarez,16.8634,-99.8901,79.0,72,69,4.41,MX,1727715937
128,olonkinbyen,70.9221,-8.7187,28.76,62,95,13.29,SJ,1727716045
129,hithadhoo,-0.6,73.0833,82.71,76,70,13.29,MV,1727716045
130,comilla,23.4578,91.2044,78.4,94,100,4.05,BD,1727715974
131,afaahiti,-17.75,-149.2833,76.62,79,32,13.09,PF,1727716046
132,dunedin,-45.8742,170.5036,48.79,71,100,1.99,NZ,1727716046
133,puerto baquerizo moreno,-0.9,-89.6,72.59,78,100,16.11,EC,1727716046
134,ribeira grande,38.5167,-28.7,79.2,78,20,17.0,PT,1727716046
135,suzun,53.7841,82.3116,50.49,70,100,4.97,RU,1727716046
136,kuraymah,18.55,31.85,99.63,14,15,12.8,SD,1727716047
137,heihe,50.2441,127.4902,37.4,62,2,5.19,CN,1727716047
138,fortaleza,-3.7227,-38.5247,86.13,58,0,20.71,BR,1727716020
139,ruzayevka,54.0639,44.9509,59.56,29,76,7.09,RU,1727716028
140,muisne,0.6,-80.0333,78.15,72,99,9.4,EC,1727716047
141,weno,7.4515,151.8468,83.93,74,4,9.37,FM,1727716047
142,sinabang,2.4803,96.3801,78.66,84,98,4.05,ID,1727716048
143,khorixas,-20.3667,14.9667,74.98,19,0,13.22,NA,1727716048
144,pervari,37.9357,42.5493,68.43,37,0,1.92,TR,1727716048
145,xining,36.6167,101.7667,36.73,88,99,2.64,CN,1727716048
146,new norfolk,-42.7826,147.0587,55.92,77,75,10.6,AU,1727716049
147,jiwani,25.05,61.7417,82.22,80,1,10.67,PK,1727716049
148,anadyr,64.75,177.4833,43.3,93,75,21.99,RU,1727716049
149,lyepyel',54.8814,28.6932,48.67,54,100,13.13,BY,1727716049
150,berezovyy,51.6667,135.7,31.6,99,100,1.81,RU,1727716049
151,shizunai-furukawacho,42.3339,142.3669,61.7,84,16,6.13,JP,1727716050
152,tazacorte,28.629,-17.9293,75.15,82,20,13.8,ES,1727716050
153,redencao,-4.2258,-38.7306,97.86,28,45,9.53,BR,1727716050
154,uturoa,-16.7333,-151.4333,79.43,78,6,11.36,PF,1727716050
155,salinopolis,-0.6136,-47.3561,83.93,69,72,15.19,BR,1727716050
156,boundiali,9.5217,-6.4869,82.0,80,62,3.49,CI,1727716050
157,qusmuryn,52.4503,64.6311,58.86,31,7,4.97,KZ,1727716050
158,hami,42.8,93.45,52.79,20,0,2.28,CN,1727716051
159,necochea,-38.5473,-58.7368,64.24,52,100,14.18,AR,1727716051
160,alo,6.5486,4.2686,78.8,85,63,10.56,NG,1727716051
161,nemuro,43.3236,145.575,62.31,96,100,13.89,JP,1727715972
162,darwin,-12.4611,130.8418,80.58,83,5,3.44,AU,1727715824
163,tangalle,6.024,80.7911,79.16,85,97,5.93,LK,1727716052
164,christchurch,-43.5333,172.6333,42.42,90,34,1.99,NZ,1727715866
165,hasaki,35.7333,140.8333,74.48,84,100,11.99,JP,1727716052
166,tenenkou,14.4572,-4.9169,94.41,37,70,1.16,ML,1727716052
167,kruisfontein,-34.0033,24.7314,50.85,58,39,24.67,ZA,1727716052
168,polyarnyy,69.1989,33.4478,37.83,75,39,18.16,RU,1727716052
169,carnarvon,-24.8667,113.6333,67.6,72,0,18.25,AU,1727716053
170,ebon,4.582,168.6964,83.41,73,96,14.99,MH,1727716053
